Map Name,Gradient 1,Gradient 2,Gradient 3
cap_0,0.32513103408069394,-0.7333298798694656,-0.01770766801810206
cap_1,-0.4781038825891155,0.7479047637289019,-0.09276820962761861
cap_2,-0.7245258724464155,-0.16518126308140993,-0.3197797983397029
cap_3,0.7865380062370577,0.14255380758915726,0.10792806641264363
cap_4,0.5387334062471618,0.3291495416320121,-0.3027772114327755
cap_5,-0.5760740065449645,-0.34213051631363234,0.40713672766158426
cap_6,-0.2528186464871696,-0.052432291642801616,-0.748149005648711
cap_7,0.4636998285715568,0.01608875565096959,0.7179926564821164
CRT_task,0.09293857503481226,-0.06098168438381186,-0.3893952999922912
Easy_Go,-0.14109780189567722,-0.05367327976132472,0.30170316703430883
Easy_NoGo,-0.003951999134767497,0.1039922037839435,0.07639221642245962
Hard_Go,-0.2450032600029903,-0.06882330979694279,0.07782787218150072
Hard_NoGo,-0.24718870184294112,0.027164372648343597,-0.2942615299005134
Katya_episodic,0.31977010190987115,-0.19588773965776868,0.14315699579577923
Katya_Uniquess,0.19073880368382973,0.14859948675816156,-0.07301257031618957
Left Finger Tapping Task,-0.10350137036932819,-0.21995101379772392,-0.10413079574137452
Myself_rest_zstat1,-0.06869690219778428,0.05161902568921644,0.1416040392134039
Other_Rest_zstat1,0.06623214899483938,0.061472746116142604,0.20883605494743862
Pic_Go,-0.11092409172082429,-0.06598356787119586,0.36813159894319647
Pic_NoGo,-0.21814168859875677,-0.1425742215794344,0.2677200673573463
PureMemoryRetrieval,-0.03669141406086023,0.11588458251675249,0.3238639637231755
PureReading,-0.19586954016577107,-0.01488389259522747,0.3268895860198459
Right Finger Tapping Task,-0.09096361110780411,-0.24133627108044786,-0.1704407062050559
Wammes_Drawing,-0.3249961894704096,-0.10341629587209479,-0.34023574616583946
WM_task,-0.009917203394844726,-0.030030692982260732,-0.5372718142429674
Word_Go,-0.06175334878897577,-0.3112050545469599,0.3301822778491098
Word_NoGo,-0.057342991302659366,-0.35107081751287506,0.10805356838417923
